pH	value
4.0	4454.9
4.0	4709.7
4.0	4923.2
4.5	4901.7
4.5	4916.3
4.5	4448.2
5.0	4568.5
5.0	4514.8
5.0	4632.0
5.5	4605.6
5.5	4444.5
5.5	4353.1
6.0	3719.8
6.0	3850.9
6.0	3691.0
6.5	2556.2
6.5	2446.0
6.5	2494.0
7.0	1270.8
7.0	1336.9
7.0	1293.1
7.5	560.4
7.5	567.6
7.5	588.7
8.0	326.1
8.0	376.1
8.0	338.2
